candidate,lanes,reducer,scalar_engines,pcu,fifo_depth,context_entries,buffer,expected_reducer_pipeline_stages,expected_ii_cycles,modeled_projected_cycles,modeled_throughput_elements_per_cycle,modeled_utilization_percent,modeled_partial_bandwidth_GBps,fp16_norm_core_area_um2,bf16_norm_core_area_um2,fp16_critical_path_ns,bf16_critical_path_ns,fp16_max_frequency_mhz,bf16_max_frequency_mhz,timing_status,power_energy,evidence_class
low_area,2,pipelined_tree,1,4,4,4,16 KiB,1,1,5662735.5,8,100.0,0.0776,30335.344,25552.0064,19.61,19.97,50.994,50.075,FAIL at 100MHz measured for 2/4 lanes; >4 lanes not STA-measured,UNAVAILABLE: no representative VCD/SAIF,MEASURED lane core; ASSUMED scaling/queue/context
balanced,4,pipelined_tree,8,8,8,16,64 KiB,2,1,899127.75,32,100.0,0.0776,57617.76,48305.0784,20.28,21.48,49.31,46.555,FAIL at 100MHz measured for 2/4 lanes; >4 lanes not STA-measured,UNAVAILABLE: no representative VCD/SAIF,MEASURED lane core; ASSUMED scalar/PCU/FIFO/buffer
high_performance,8,pipelined_tree,16,16,16,16,256 KiB,3,1,449563.875,128,100.0,0.0776,115235.52,96610.1568,,,,,UNVERIFIED; lane extrapolation only,UNAVAILABLE: no representative VCD/SAIF,MODELED lane extrapolation; ASSUMED scalar/PCU/FIFO/buffer
