profile_id,norm_type,rows,hidden_size,shape,invocations,simulator_dtype,official_dtype,elements_per_call,vector_length,reduction_scalars_per_call,logical_input_output_bytes_per_call,affine_parameter_bytes_per_call,measured_compute_cycles_per_call,trace_calls,trace_mean_queue_cycles,trace_max_queue_cycles,trace_mean_service_cycles,trace_total_service_cycles,evidence_activation,evidence_shape_calls,cycle_scope
vlln,VLLN_LayerNorm,280,2048,"[280,2048]",1,FP16,BF16,573440,2048,560,2293760,8192,17198,1,0,0,35840,35840,SYNTHETIC,DERIVED_FROM_PINNED_OFFICIAL_SOURCE,Bank-PIM element-wise only; host reduction/rsqrt excluded
vl_self_attention_norm1_norm3,LayerNorm,280,2048,"[280,2048]",8,FP16,BF16,573440,2048,560,2293760,8192,17198,8,51680,103360,35840,286720,SYNTHETIC,DERIVED_FROM_PINNED_OFFICIAL_SOURCE,Bank-PIM element-wise only; host reduction/rsqrt excluded
dit_adaln_norm1,AdaLayerNorm,41,1536,"[41,1536]",128,FP16,BF16,62976,1536,82,251904,251904,4856,128,21071.875,103360,4856,621568,SYNTHETIC,DERIVED_FROM_PINNED_OFFICIAL_SOURCE,Bank-PIM element-wise only; host reduction/rsqrt excluded
dit_norm3,LayerNorm,41,1536,"[41,1536]",128,FP16,BF16,62976,1536,82,251904,0,4856,128,0,0,4856,621568,SYNTHETIC,DERIVED_FROM_PINNED_OFFICIAL_SOURCE,Bank-PIM element-wise only; host reduction/rsqrt excluded
dit_norm_out,LayerNorm,41,1536,"[41,1536]",4,FP16,BF16,62976,1536,82,251904,6144,4856,4,0,0,4856,19424,SYNTHETIC,DERIVED_FROM_PINNED_OFFICIAL_SOURCE,Bank-PIM element-wise only; host reduction/rsqrt excluded
qwen_input_post_attention,RMSNorm,280,2048,"[280,2048]",32,FP16,BF16,573440,2048,280,2293760,4096,9735,32,193800,387600,35840,1146880,SYNTHETIC,DERIVED_FROM_PINNED_OFFICIAL_SOURCE,Bank-PIM element-wise only; host reduction/rsqrt excluded
qwen_query_key,RMSNorm,8960,64,"[8960,64]",32,FP16,BF16,573440,64,8960,2293760,128,9735,32,607240,801040,35840,1146880,SYNTHETIC,DERIVED_FROM_PINNED_OFFICIAL_SOURCE,Bank-PIM element-wise only; host reduction/rsqrt excluded
