id,category,required,status,duration_s,exit_code
rtl_to_3d_unit,python_unit,True,PASS,0.724,0
hardware_cost_unit,python_unit,True,PASS,3.252,0
normalization_foundation_tests,rtl_tests,True,FAIL_SEMANTIC_MARKER,498.057,0
rtl_audit_regression,rtl_audit,True,PASS,2.168,0
