id,category,required,status,duration_s,exit_code
rtl_to_3d_unit,python_unit,True,FAIL,0.255,1
hardware_cost_unit,python_unit,True,PASS,2.558,0
normalization_foundation_tests,rtl_tests,True,PASS,10.491,0
rtl_audit_regression,rtl_audit,True,PASS,1.28,0
