id,category,required,status,duration_s,exit_code
rtl_to_3d_unit,python_unit,True,PASS,0.784,0
hardware_cost_unit,python_unit,True,PASS,2.173,0
normalization_foundation_tests,rtl_tests,True,PASS,1106.908,0
rtl_audit_regression,rtl_audit,True,PASS,1.07,0
