scenario,area_index,package_index,yield_cost_index,energy_index,thermal_index,combined_cost_index,normalized_performance,performance_per_cost,thermal_feasible,capacity_feasible,overall_feasible,pareto_optimal
hbm2_4hi_1stack,0.5580110497237569,0.725,0.671639076014902,0.7500000000000001,0.6187499999999999,0.6609044061581876,1.0,1.5130781254931591,True,False,False,False
hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True
hbm2_12hi_1stack,1.441988950276243,1.275,1.4888949075646285,1.2500000000000002,1.46875,1.3811435222928024,1.0,0.7240377150232183,True,True,True,False
hbm2_8hi_2stack,2.0,2.0,2.735314472936077,1.0,2.0,1.853614636538505,2.0,1.0789729216504567,True,True,True,True
hbm2_8hi_no_pim,0.994475138121547,1.0,0.9910314438118207,1.5652173913043481,0.8695652173913044,1.0605023561968878,0.5555555555555556,0.5238607460975917,True,True,True,True
