lanes_per_bank,elements_per_cycle_per_bank,generic_cells_per_bank,generic_logic_path_length,pipelined_generic_cells_per_bank,pipelined_generic_logic_path_length,pipelined_latency_from_last_cycles,generic_cells_16banks,hierarchical_generic_cells_proxy,area_multiplier_vs_scalar_reducer,throughput_per_1000_cells,bank_only_projected_ms,hierarchical_projected_ms,pipelined_hierarchical_projected_ms,multirow_pipelined_hierarchical_projected_ms,hierarchical_speedup_vs_scalar,logic_only_projected_ms,gpu_full_projected_ms,overall_latency_winner,pipelined_overall_latency_winner,cell_evidence,latency_evidence
1,1,10787,334,,,,172592,617929,0.70471,0.092704181,62.909162,107.394504,107.394504,,1.0,16.396998,36.772505,logic_only,logic_only,RTL_MEASURED_GENERIC_SYNTHESIS,RTL_THROUGHPUT_CALIBRATED_ANALYTICAL
2,2,21330,566,21363,333,2,341280,786617,1.39348,0.093764651,44.710762,89.196104,92.284704,,1.204027,16.396998,36.772505,logic_only,logic_only,RTL_MEASURED_GENERIC_SYNTHESIS,RTL_THROUGHPUT_CALIBRATED_ANALYTICAL
4,4,42389,798,42461,333,3,678224,1123561,2.769256,0.094364104,35.611562,80.096904,86.274104,80.103564,1.340807,16.396998,36.772505,logic_only,logic_only,RTL_MEASURED_GENERIC_SYNTHESIS,RTL_THROUGHPUT_CALIBRATED_ANALYTICAL
8,8,84501,1030,84727,333,4,1352016,1797353,5.520415,0.094673436,32.495562,76.980904,86.246704,,1.39508,16.396998,36.772505,logic_only,logic_only,RTL_MEASURED_GENERIC_SYNTHESIS,RTL_THROUGHPUT_CALIBRATED_ANALYTICAL
16,16,168725,1262,169209,333,5,2699600,3144937,11.022735,0.094828864,30.937562,75.422904,87.777304,,1.423898,16.396998,36.772505,logic_only,logic_only,RTL_MEASURED_GENERIC_SYNTHESIS,RTL_THROUGHPUT_CALIBRATED_ANALYTICAL
