dtype,norm_type,input_case,hidden_size,candidate,nr_iterations,wide_internal,samples,nonfinite,max_abs,mean_abs,max_rel,mean_rel,rmse,max_abs_threshold,result
FP16,RMSNorm,mixed_random,2048,LUT256_NR1_NARROW,1,False,2048,0,0.0002743286,0.0001394078,0.0001600126,0.0001600126,0.0001600123,0.025,PASS
FP16,RMSNorm,mixed_random,2048,LUT256_NR2_NARROW,2,False,2048,0,0.0002743286,0.0001394078,0.0001600126,0.0001600126,0.0001600123,0.025,PASS
FP16,RMSNorm,mixed_random,2048,LUT256_NR1_WIDE,1,True,2048,0,0.0002743286,0.0001394078,0.0001600126,0.0001600126,0.0001600123,0.025,PASS
FP16,RMSNorm,mixed_random,2048,LUT256_NR2_WIDE,2,True,2048,0,0.0002743286,0.0001394078,0.0001600126,0.0001600126,0.0001600123,0.025,PASS
FP16,RMSNorm,epsilon_near,64,LUT256,0,False,64,0,0.0004408568,0.0002617587,0.0022255144,0.0017734568,0.0003092878,0.025,PASS
FP16,RMSNorm,epsilon_near,64,LUT256_NR1_NARROW,1,False,0,64,0.0,0.0,0.0,0.0,0.0,0.025,FAIL
FP16,RMSNorm,epsilon_near,64,LUT256_NR2_NARROW,2,False,0,64,0.0,0.0,0.0,0.0,0.0,0.025,FAIL
FP16,RMSNorm,epsilon_near,64,LUT256_NR1_WIDE,1,True,64,0,0.00064089,0.0003805284,0.0032353134,0.0025781404,0.0004496233,0.025,PASS
FP16,RMSNorm,epsilon_near,64,LUT256_NR2_WIDE,2,True,64,0,0.00064089,0.0003805284,0.0032353134,0.0025781404,0.0004496233,0.025,PASS
BF16,LayerNorm,all_zero,2048,LUT256,0,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,all_zero,2048,LUT256_NR1_NARROW,1,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,all_zero,2048,LUT256_NR2_NARROW,2,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,all_zero,2048,LUT256_NR1_WIDE,1,True,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,all_zero,2048,LUT256_NR2_WIDE,2,True,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,constant,2048,LUT256,0,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,constant,2048,LUT256_NR1_NARROW,1,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,constant,2048,LUT256_NR2_NARROW,2,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,constant,2048,LUT256_NR1_WIDE,1,True,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,constant,2048,LUT256_NR2_WIDE,2,True,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,mixed_random,2048,LUT256,0,False,2048,0,0.0057774494,0.0028431803,0.0032990281,0.0032990281,0.0032990224,0.025,PASS
BF16,LayerNorm,mixed_random,2048,LUT256_NR1_NARROW,1,False,2048,0,0.0057774494,0.0028431803,0.0032990281,0.0032990281,0.0032990224,0.025,PASS
BF16,LayerNorm,mixed_random,2048,LUT256_NR2_NARROW,2,False,2048,0,0.0057774494,0.0028431803,0.0032990281,0.0032990281,0.0032990224,0.025,PASS
BF16,LayerNorm,mixed_random,2048,LUT256_NR1_WIDE,1,True,2048,0,0.0057774494,0.0028431803,0.0032990281,0.0032990281,0.0032990224,0.025,PASS
BF16,LayerNorm,mixed_random,2048,LUT256_NR2_WIDE,2,True,2048,0,0.0057774494,0.0028431803,0.0032990281,0.0032990281,0.0032990224,0.025,PASS
BF16,LayerNorm,small_variance,2048,LUT256,0,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,small_variance,2048,LUT256_NR1_NARROW,1,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,small_variance,2048,LUT256_NR2_NARROW,2,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,small_variance,2048,LUT256_NR1_WIDE,1,True,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,small_variance,2048,LUT256_NR2_WIDE,2,True,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,large_offset_small_variance,1536,LUT256,0,False,1536,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,large_offset_small_variance,1536,LUT256_NR1_NARROW,1,False,1536,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,large_offset_small_variance,1536,LUT256_NR2_NARROW,2,False,1536,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,large_offset_small_variance,1536,LUT256_NR1_WIDE,1,True,1536,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,LayerNorm,large_offset_small_variance,1536,LUT256_NR2_WIDE,2,True,1536,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,RMSNorm,all_zero,2048,LUT256,0,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,RMSNorm,all_zero,2048,LUT256_NR1_NARROW,1,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,RMSNorm,all_zero,2048,LUT256_NR2_NARROW,2,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,RMSNorm,all_zero,2048,LUT256_NR1_WIDE,1,True,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,RMSNorm,all_zero,2048,LUT256_NR2_WIDE,2,True,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
BF16,RMSNorm,constant,2048,LUT256,0,False,2048,0,0.00390593,0.00390593,0.0039059313,0.0039059313,0.00390593,0.025,PASS
BF16,RMSNorm,constant,2048,LUT256_NR1_NARROW,1,False,2048,0,0.00390593,0.00390593,0.0039059313,0.0039059313,0.00390593,0.025,PASS
BF16,RMSNorm,constant,2048,LUT256_NR2_NARROW,2,False,2048,0,0.00390593,0.00390593,0.0039059313,0.0039059313,0.00390593,0.025,PASS
BF16,RMSNorm,constant,2048,LUT256_NR1_WIDE,1,True,2048,0,0.0009768825,0.0009768825,0.0009768828,0.0009768828,0.0009768825,0.025,PASS
BF16,RMSNorm,constant,2048,LUT256_NR2_WIDE,2,True,2048,0,0.0009768825,0.0009768825,0.0009768828,0.0009768828,0.0009768825,0.025,PASS
BF16,RMSNorm,mixed_random,2048,LUT256,0,False,2048,0,0.0027195679,0.0013807261,0.0015848017,0.0015848017,0.0015847994,0.025,PASS
BF16,RMSNorm,mixed_random,2048,LUT256_NR1_NARROW,1,False,2048,0,0.0027195679,0.0013807261,0.0015848017,0.0015848017,0.0015847994,0.025,PASS
BF16,RMSNorm,mixed_random,2048,LUT256_NR2_NARROW,2,False,2048,0,0.0027195679,0.0013807261,0.0015848017,0.0015848017,0.0015847994,0.025,PASS
BF16,RMSNorm,mixed_random,2048,LUT256_NR1_WIDE,1,True,2048,0,0.0027195679,0.0013807261,0.0015848017,0.0015848017,0.0015847994,0.025,PASS
BF16,RMSNorm,mixed_random,2048,LUT256_NR2_WIDE,2,True,2048,0,0.0027195679,0.0013807261,0.0015848017,0.0015848017,0.0015847994,0.025,PASS
BF16,RMSNorm,epsilon_near,64,LUT256,0,False,64,0,0.0004552719,0.0002703177,0.0022956012,0.0018293072,0.0003194009,0.025,PASS
BF16,RMSNorm,epsilon_near,64,LUT256_NR1_NARROW,1,False,64,0,0.0004552719,0.0002703177,0.0022956012,0.0018293072,0.0003194009,0.025,PASS
BF16,RMSNorm,epsilon_near,64,LUT256_NR2_NARROW,2,False,64,0,0.0004552719,0.0002703177,0.0022956012,0.0018293072,0.0003194009,0.025,PASS
BF16,RMSNorm,epsilon_near,64,LUT256_NR1_WIDE,1,True,64,0,0.0004552719,0.0002703177,0.0022956012,0.0018293072,0.0003194009,0.025,PASS
BF16,RMSNorm,epsilon_near,64,LUT256_NR2_WIDE,2,True,64,0,0.0004552719,0.0002703177,0.0022956012,0.0018293072,0.0003194009,0.025,PASS
