banks,scalar_engines,parallel_partial_pairs_per_cycle,logic_tree_top_generic_cells,bank_multirow_reducers_generic_cells,hierarchical_generic_cells_proxy,hierarchical_projected_ms,gpu_full_projected_ms,speedup_vs_gpu_full,evidence_class
16,8,16,264552,688128,952680,32.832634,36.772505,1.119999,RTL_TREE_THROUGHPUT_AND_GENERIC_CELLS_MIXED_ANALYTICAL
16,16,16,431390,688128,1119518,32.832634,36.772505,1.119999,RTL_TREE_THROUGHPUT_AND_GENERIC_CELLS_MIXED_ANALYTICAL
