architecture,banks,generic_cells,apply_ops_rms,apply_ops_layernorm,includes_raw_element_reduction,includes_rsqrt,status,notes
shared_pair_reducer,1,7029,0,0,false,false,measured,"Accumulates precomputed FP16 SUM/SUMSQ pairs; strict Yosys check passed"
shared_pair_reducer,2,14055,0,0,false,false,measured,"Accumulates precomputed FP16 SUM/SUMSQ pairs; strict Yosys check passed"
shared_pair_reducer,4,28108,0,0,false,false,measured,"Accumulates precomputed FP16 SUM/SUMSQ pairs; strict Yosys check passed"
shared_pair_reducer,8,56215,0,0,false,false,measured,"Accumulates precomputed FP16 SUM/SUMSQ pairs; strict Yosys check passed"
shared_pair_reducer,16,112525,0,0,false,false,measured,"Accumulates precomputed FP16 SUM/SUMSQ pairs; strict Yosys check passed"
logic_normalization_reduction_engine,4,39064,0,0,false,true,measured,"Combines bank partials and computes scalar normalization parameters"
dedicated_hierarchical_normalization_datapath,4,183082,1,3,true,true,measured,"Dedicated local reducers and apply engines; RMS and LayerNorm E2E verified"
shared_reducer_plus_logic_engine,4,67172,2,4,false,true,derived,"28108+39064; affine arithmetic commands measured by Bank-PCU TB, plus SRF/GRF parameter writes; raw SUM/SUMSQ producer excluded"
