ordinal,profile,channel,arrival_cycle,tensor_input_output_bytes,measured_compute_cycles,transfer_cycles,service_start_cycle,completion_cycle,queue_cycles,service_cycles
69,dit_adaln_norm1,5,345000,251904,4856,3936,345000,349856,0,4856
70,dit_adaln_norm1,6,350000,251904,4856,3936,350000,354856,0,4856
71,dit_adaln_norm1,7,355000,251904,4856,3936,355000,359856,0,4856
72,dit_adaln_norm1,0,360000,251904,4856,3936,360000,364856,0,4856
73,dit_adaln_norm1,1,365000,251904,4856,3936,365000,369856,0,4856
74,dit_adaln_norm1,2,370000,251904,4856,3936,370000,374856,0,4856
75,dit_adaln_norm1,3,375000,251904,4856,3936,375000,379856,0,4856
76,dit_adaln_norm1,4,380000,251904,4856,3936,380000,384856,0,4856
77,dit_adaln_norm1,5,385000,251904,4856,3936,385000,389856,0,4856
78,dit_adaln_norm1,6,390000,251904,4856,3936,390000,394856,0,4856
79,dit_adaln_norm1,7,395000,251904,4856,3936,395000,399856,0,4856
80,dit_adaln_norm1,0,400000,251904,4856,3936,400000,404856,0,4856
81,dit_adaln_norm1,1,405000,251904,4856,3936,405000,409856,0,4856
82,dit_adaln_norm1,2,410000,251904,4856,3936,410000,414856,0,4856
83,dit_adaln_norm1,3,415000,251904,4856,3936,415000,419856,0,4856
84,dit_adaln_norm1,4,420000,251904,4856,3936,420000,424856,0,4856
85,dit_adaln_norm1,5,425000,251904,4856,3936,425000,429856,0,4856
86,dit_adaln_norm1,6,430000,251904,4856,3936,430000,434856,0,4856
87,dit_adaln_norm1,7,435000,251904,4856,3936,435000,439856,0,4856
88,dit_adaln_norm1,0,440000,251904,4856,3936,440000,444856,0,4856
89,dit_adaln_norm1,1,445000,251904,4856,3936,445000,449856,0,4856
90,dit_adaln_norm1,2,450000,251904,4856,3936,450000,454856,0,4856
91,dit_adaln_norm1,3,455000,251904,4856,3936,455000,459856,0,4856
92,dit_adaln_norm1,4,460000,251904,4856,3936,460000,464856,0,4856
93,dit_adaln_norm1,5,465000,251904,4856,3936,465000,469856,0,4856
94,dit_adaln_norm1,6,470000,251904,4856,3936,470000,474856,0,4856
95,dit_adaln_norm1,7,475000,251904,4856,3936,475000,479856,0,4856
96,dit_adaln_norm1,0,480000,251904,4856,3936,480000,484856,0,4856
97,dit_adaln_norm1,1,485000,251904,4856,3936,485000,489856,0,4856
98,dit_adaln_norm1,2,490000,251904,4856,3936,490000,494856,0,4856
99,dit_adaln_norm1,3,495000,251904,4856,3936,495000,499856,0,4856
100,dit_adaln_norm1,4,500000,251904,4856,3936,500000,504856,0,4856
101,dit_adaln_norm1,5,505000,251904,4856,3936,505000,509856,0,4856
102,dit_adaln_norm1,6,510000,251904,4856,3936,510000,514856,0,4856
103,dit_adaln_norm1,7,515000,251904,4856,3936,515000,519856,0,4856
