x_mm,y_mm,wire_um,max_wire_um,wire_skew_um,delay_ps,tsv_distance_um,congestion_ratio,wire_power_mw,area_proxy_mm2,tsv_count,tsv_keepout_area_mm2,tsv_violation_penalty,max_temp_c,mean_temp_c,max_gradient_c_per_mm,temperature_exceedance_c,timing_exceedance_ps,candidate_constraints_satisfied,hard_constraints_satisfied,hard_constraint_violations,raw_wire,raw_delay,raw_thermal,raw_tsv,raw_congestion,raw_power,raw_area,raw_reliability,norm_wire,norm_delay,norm_thermal,norm_tsv,norm_congestion,norm_power,norm_area,norm_reliability,scores_balanced,scores_thermal_first,scores_performance_first,scores_cost_first
-2.5,0.0,2728.1249999999995,5912.5,1948.8753768199238,3632.5185560952145,950.4000000000001,0.8336042991138599,0.12189153374999998,0.1556473156,1024,2.5735927018207585,0.0,35.33523807600119,32.031569804556334,4.488955469732653,0.0,0.0,True,False,global_rtl_timing_not_closed,2728.1249999999995,3827.406093777207,12.990921621086803,0.43013945263655684,0.8336042991138599,0.12189153374999998,0.1556473156,0.006967657510536611,0.4546874999999999,1.0,0.18558459458695434,0.43013945263655684,0.5344171964554398,0.24378306749999995,0.3112946312,0.006967657510536611,0.4122399642419919,0.2563570664558366,0.5282952398102498,0.39795675016842197
-2.5,1.5,4228.124999999999,7412.5,1948.8753768199238,5709.458844103026,772.0000000000002,0.7543602207320516,0.18891093374999998,0.17964731560000002,1024,2.5735927018207585,0.0,35.33050779286446,32.03169219399897,4.503904798311896,0.0,0.0,True,False,global_rtl_timing_not_closed,4228.124999999999,5904.346381785019,12.989211801026581,0.4137861193032235,0.7543602207320516,0.18891093374999998,0.17964731560000002,0.006964362390658094,0.7046874999999998,1.0,0.185560168586094,0.4137861193032235,0.2174408829282064,0.37782186749999996,0.35929463120000005,0.006964362390658094,0.43800250354373227,0.2737808733884454,0.5657439411014464,0.4342269981262853
-2.5,2.0,4728.124999999999,7912.5,1948.8753768199238,6505.684232813965,932.8000000000003,0.748019261673986,0.21125073374999995,0.1876473156,1024,2.5735927018207585,0.0,35.32812633843254,32.0318211132718,4.486495000032968,0.0,0.0,True,False,global_rtl_timing_not_closed,4728.124999999999,6700.571770495957,12.983380616757085,0.4285261193032236,0.748019261673986,0.21125073374999995,0.1876473156,0.006962704056960164,0.7880208333333332,1.0,0.18547686595367263,0.4285261193032236,0.19207704669594428,0.4225014674999999,0.3752946312,0.006962704056960164,0.4566197750956977,0.28457917705883645,0.5892774576316266,0.45635814132313196
-2.5,2.5,5228.124999999999,8412.5,1948.8753768199238,7353.865601212402,807.1999999999999,0.7434276480164722,0.23359053374999997,0.1956473156,1024,2.5735927018207585,0.0,35.32683268361808,32.03199966079428,4.500108776396923,0.0,0.0,True,False,global_rtl_timing_not_closed,5228.124999999999,7548.753138894394,12.984854354096033,0.4170127859698902,0.7434276480164722,0.23359053374999997,0.1956473156,0.006961803381657071,0.8713541666666665,1.0,0.18549791934422905,0.4170127859698902,0.173710592065889,0.46718106749999994,0.3912946312,0.006961803381657071,0.47333761624613413,0.2944617948846901,0.6095831858072449,0.4765741628320836
-0.5,0.0,1953.1249999999998,3912.5,1194.1875834118357,1590.6485543764647,2950.4,0.8544327681590362,0.08726484374999999,0.1432473156,1024,2.5735927018207585,0.0,35.54102051814488,32.03899313610365,4.330182631997595,0.0,0.0,True,False,global_rtl_timing_not_closed,1953.1249999999998,1710.0673127176483,13.166805328570314,0.6134727859698902,0.8544327681590362,0.08726484374999999,0.1432473156,0.007112525116729799,0.3255208333333333,1.0,0.1880972189795759,0.6134727859698902,0.6177310726361451,0.17452968749999997,0.2864946312,0.007112525116729799,0.4090113257188372,0.2532297457627902,0.5273907975812255,0.38891696993939767
0.0,0.0,1949.9999999999998,3412.5,1090.0831390311473,1210.0710031655271,3450.4,0.813400175005887,0.08712522,0.1431973156,1024,2.5735927018207585,0.0,35.55179977854542,32.03928560468478,4.28340509660429,0.0,0.0,True,False,global_rtl_timing_not_closed,1949.9999999999998,1319.0793170686418,13.168302199037475,0.6593061193032236,0.813400175005887,0.08712522,0.1431973156,0.007120196026357528,0.32499999999999996,0.8793862113790946,0.1881186028433925,0.6593061193032236,0.45360070002354824,0.17425044,0.2863946312,0.007120196026357528,0.3789725375130252,0.24122431558009144,0.4875526643882691,0.3648833969562438
0.4,-0.0,1950.0,3812.5,1161.1551360606386,1510.3765657592771,3050.4,0.8378214750158138,0.08712522,0.1431973156,1024,2.5735927018207585,0.0,35.54573597380536,32.039121625840025,4.318215626767793,0.0,0.0,True,False,global_rtl_timing_not_closed,1950.0,1626.492079365341,13.169159505618921,0.6226394526365568,0.8378214750158138,0.08712522,0.1431973156,0.007115879787289848,0.325,1.0,0.1881308500802703,0.6226394526365568,0.5512859000632555,0.17425044,0.2863946312,0.007115879787289848,0.4031690893287778,0.25031057968857023,0.5219756404592006,0.38304763806737274
0.5,0.0,1953.125,3912.5,1194.1875834118357,1590.6485543764647,2950.4,0.8544327681590361,0.08726484375000002,0.14324731560000004,1024,2.5735927018207585,0.0,35.54102051814487,32.03899313610365,4.330182631997489,0.0,0.0,True,False,global_rtl_timing_not_closed,1953.125,1710.0673127176483,13.166805328570279,0.6134727859698902,0.8544327681590361,0.08726484375000002,0.14324731560000004,0.007112525116729792,0.3255208333333333,1.0,0.1880972189795754,0.6134727859698902,0.6177310726361447,0.17452968750000003,0.28649463120000007,0.007112525116729792,0.40901132571883697,0.25322974576279,0.5273907975812254,0.3889169699393976
1.5,0.0,2212.5,4912.5,1531.5433392496602,2507.6715958608397,1950.4,0.8453119015587288,0.09885361499999999,0.14739731560000002,1024,2.5735927018207585,0.0,35.471009292756314,32.036963847687176,4.420940243806647,0.0,0.0,True,False,global_rtl_timing_not_closed,2212.5,2660.825929785806,13.114438303439437,0.5218061193032235,0.8453119015587288,0.09885361499999999,0.14739731560000002,0.007062903363501332,0.36875,1.0,0.1873491186205634,0.5218061193032235,0.5812476062349154,0.19770722999999998,0.29479463120000005,0.007062903363501332,0.4062240356053049,0.25237246338886077,0.5222963286092064,0.38806067188404536
2.0,0.0,2462.5,5412.5,1710.8112110925624,3044.117086134277,1450.4,0.8083571443631543,0.11002351500000002,0.15139731560000003,1024,2.5735927018207585,0.0,35.40560878435199,32.03475836455036,4.475217437798894,0.0,0.0,True,False,global_rtl_timing_not_closed,2462.5,3215.1982072435335,13.05934186304936,0.47597278596989023,0.8083571443631543,0.11002351500000002,0.15139731560000003,0.007016862335860206,0.41041666666666665,1.0,0.18656202661499086,0.47597278596989023,0.4334285774526174,0.22004703000000003,0.30279463120000005,0.007016862335860206,0.39650774562291785,0.24801010234171,0.512492071145704,0.3802153944205429
