x_mm,y_mm,wire_um,max_wire_um,wire_skew_um,delay_ps,tsv_distance_um,congestion_ratio,wire_power_mw,area_proxy_mm2,tsv_count,tsv_keepout_area_mm2,tsv_violation_penalty,max_temp_c,mean_temp_c,max_gradient_c_per_mm,temperature_exceedance_c,timing_exceedance_ps,candidate_constraints_satisfied,hard_constraints_satisfied,hard_constraint_violations,raw_wire,raw_delay,raw_thermal,raw_tsv,raw_congestion,raw_power,raw_area,raw_reliability,norm_wire,norm_delay,norm_thermal,norm_tsv,norm_congestion,norm_power,norm_area,norm_reliability,scores_balanced,scores_thermal_first,scores_performance_first,scores_cost_first
-2.5,-5.5,8228.125,11412.5,1948.8753768199238,13534.029385040527,1163.9999999999998,0.7299002484521102,0.36762933375000006,0.24364731560000003,1024,2.5735927018207585,0.0,36.13727311013544,32.035656301320394,4.783138225773784,0.0,3534.029385040527,False,False,timing_limit;global_rtl_timing_not_closed,8228.125,13728.91692272252,13.852814830620295,0.4497194526365569,0.7299002484521102,0.36762933375000006,0.24364731560000003,0.007549509467783256,1.0,1.0,0.19789735472314707,0.4497194526365569,0.11960099380844103,0.7352586675000001,0.48729463120000005,0.007549509467783256,0.5182889992070648,0.3301573987762228,0.6607128931570314,0.5592117135152037
-2.5,-5.0,7728.124999999999,10912.5,1948.8753768199238,12374.112138517088,663.9999999999997,0.7312987171016174,0.34528953375,0.23564731560000002,1024,2.5735927018207585,0.0,35.865380607214576,32.03460018475184,5.2215144859813245,0.0,2374.112138517088,False,False,timing_limit;global_rtl_timing_not_closed,7728.124999999999,12568.99967619908,13.668333550598799,0.4038861193032235,0.7312987171016174,0.34528953375,0.23564731560000002,0.007347009353217843,1.0,1.0,0.19526190786569714,0.4038861193032235,0.12519486840646987,0.6905790675,0.47129463120000004,0.007347009353217843,0.5105519616077154,0.323884994730692,0.6510896309253611,0.5442121579502
-2.5,-4.5,7228.124999999999,10412.5,1948.8753768199238,11266.150871681151,824.7999999999997,0.7329216780856544,0.32294973375,0.2276473156,1024,2.5735927018207585,0.0,35.486193104009985,32.033745598362145,4.452993059046551,0.0,1266.1508716811513,False,False,timing_limit;global_rtl_timing_not_closed,7228.124999999999,11461.038409363144,13.13522811540983,0.41862611930322347,0.7329216780856544,0.32294973375,0.2276473156,0.007073635688476674,1.0,1.0,0.18764611593442615,0.41862611930322347,0.13168671234261797,0.6458994675,0.4552946312,0.007073635688476674,0.5077098806520384,0.31843082582547916,0.6501405874426117,0.5348581544674507
-2.5,-4.0,6728.124999999999,9912.5,1948.8753768199238,10210.145584532715,915.2000000000005,0.7348314794533761,0.30060993375,0.2196473156,1024,2.5735927018207585,0.0,35.38494506545378,32.03303685689865,4.460635162221182,0.0,210.14558453271457,False,False,timing_limit;global_rtl_timing_not_closed,6728.124999999999,10405.033122214707,13.035331312122675,0.42691278596989024,0.7348314794533761,0.30060993375,0.2196473156,0.007002377859086391,1.0,1.0,0.18621901874460964,0.42691278596989024,0.13932591781350467,0.6012198675,0.4392946312,0.007002377859086391,0.5059045877854005,0.3155366941310614,0.6489672553792493,0.5256025290707548
-2.5,-3.5,6228.125,9412.5,1948.8753768199238,9206.096277071776,754.4000000000004,0.7371173763530177,0.27827013375000004,0.21164731560000002,1024,2.5735927018207585,0.0,35.34362020858969,32.032535868428425,4.4900985647798555,0.0,0.0,True,False,global_rtl_timing_not_closed,6228.125,9400.983814753768,12.999773888652769,0.41217278596989027,0.7371173763530177,0.27827013375000004,0.21164731560000002,0.00697350034187232,1.0,1.0,0.1857110555521824,0.41217278596989027,0.14846950541207082,0.5565402675000001,0.42329463120000005,0.00697350034187232,0.5021810879954289,0.31198853457095455,0.6445843939440025,0.5142887076355079
-2.5,-3.0,5728.125,8912.5,1948.8753768199238,8254.00294929834,646.3999999999999,0.7399126736357701,0.25593033375,0.20364731560000002,1024,2.5735927018207585,0.0,35.4946568476518,32.03221157890257,5.132492995335658,0.0,0.0,True,False,global_rtl_timing_not_closed,5728.125,8448.890486980332,13.279208341444571,0.4022727859698902,0.7399126736357701,0.25593033375,0.20364731560000002,0.007079625166697818,0.9546875,1.0,0.18970297630635102,0.4022727859698902,0.15965069454308045,0.5118606675,0.40729463120000003,0.007079625166697818,0.4912213195795546,0.3063049533318461,0.6302599061737615,0.49732250986526705
-2.5,-2.5,5228.124999999999,8412.5,1948.8753768199238,7353.865601212402,807.1999999999999,0.7434276480164722,0.23359053374999997,0.1956473156,1024,2.5735927018207585,0.0,35.326832683618186,32.031999660794284,4.500108776396843,0.0,0.0,True,False,global_rtl_timing_not_closed,5228.124999999999,7548.753138894394,12.984854354096125,0.4170127859698902,0.7434276480164722,0.23359053374999997,0.1956473156,0.006961803381657145,0.8713541666666665,1.0,0.18549791934423035,0.4170127859698902,0.173710592065889,0.46718106749999994,0.3912946312,0.006961803381657145,0.47333761624613446,0.2944617948846907,0.6095831858072449,0.4765741628320838
-2.5,-2.0,4728.124999999999,7912.5,1948.8753768199238,6505.684232813965,932.8000000000003,0.748019261673986,0.21125073374999995,0.1876473156,1024,2.5735927018207585,0.0,35.328126338432654,32.0318211132718,4.486495000032835,0.0,0.0,True,False,global_rtl_timing_not_closed,4728.124999999999,6700.571770495957,12.983380616757172,0.4285261193032236,0.748019261673986,0.21125073374999995,0.1876473156,0.006962704056960245,0.7880208333333332,1.0,0.18547686595367388,0.4285261193032236,0.19207704669594428,0.4225014674999999,0.3752946312,0.006962704056960245,0.456619775095698,0.28457917705883706,0.5892774576316268,0.4563581413231321
-2.5,-1.5,4228.124999999999,7412.5,1948.8753768199238,5709.458844103026,772.0000000000002,0.7543602207320516,0.18891093374999998,0.17964731560000002,1024,2.5735927018207585,0.0,35.33050779286452,32.031692193998964,4.503904798311869,0.0,0.0,True,False,global_rtl_timing_not_closed,4228.124999999999,5904.346381785019,12.989211801026638,0.4137861193032235,0.7543602207320516,0.18891093374999998,0.17964731560000002,0.006964362390658138,0.7046874999999998,1.0,0.18556016858609484,0.4137861193032235,0.2174408829282064,0.37782186749999996,0.35929463120000005,0.006964362390658138,0.4380025035437325,0.27378087338844576,0.5657439411014464,0.4342269981262854
-2.5,-1.0,3728.1249999999995,6912.5,1948.8753768199238,4965.189435079589,628.8000000000001,0.7639414265662174,0.16657113375,0.17164731560000002,1024,2.5735927018207585,0.0,35.49684079619115,32.03160823255006,5.14061572464437,0.0,0.0,True,False,global_rtl_timing_not_closed,3728.1249999999995,5160.076972761582,13.28286599925754,0.4006594526365569,0.7639414265662174,0.16657113375,0.17164731560000002,0.007081171489250315,0.6213541666666665,1.0,0.189755228560822,0.4006594526365569,0.25576570626486994,0.3331422675,0.34329463120000003,0.007081171489250315,0.4218821184476065,0.26558460669695794,0.5441654565541818,0.41397022024568736
