scenario,base_logic_die_area_mm2,gross_dies_per_wafer_analytical,poisson_logic_die_yield,good_logic_dies_per_wafer,logic_die_cost_usd,package_cost_usd,partial_logic_plus_package_cost_usd,excludes,status
low,77.76,833.4506785706209,0.9618661261563464,801.6679755391013,6.2369960539307145,50.0,100.42320723916201,HBM_DRAM_die_cost;test_cost;NRE;vendor_margin,placeholder_not_vendor_quote
base,96.0,668.2933020263246,0.8253068684916823,551.547052329312,18.1308194065541,120.0,161.5565139257943,HBM_DRAM_die_cost;test_cost;NRE;vendor_margin,placeholder_not_vendor_quote
high,116.16,546.6872350499557,0.5594506269918585,305.84451641714327,65.39270422204292,300.0,374.7233147595559,HBM_DRAM_die_cost;test_cost;NRE;vendor_margin,placeholder_not_vendor_quote
