parameter,delta_percent,winner_x_mm,winner_y_mm,winner_score,baseline_score,improvement_percent
logic_power,-20,0.0,0.0,0.378707478333848,0.378707478333848,0.0
logic_power,-10,0.0,0.0,0.3788400032273152,0.3788400032273152,0.0
logic_power,10,0.0,0.0,0.3791050812252145,0.3791050812252145,0.0
logic_power,20,0.0,0.0,0.3792376343982443,0.3792376343982443,0.0
dram_power,-20,0.0,0.0,0.37156417981843537,0.37156417981843537,0.0
dram_power,-10,0.0,0.0,0.3752650185229238,0.3752650185229238,0.0
dram_power,10,0.0,0.0,0.3826874532492408,0.3826874532492408,0.0
dram_power,20,0.0,0.0,0.3864105590324465,0.3864105590324465,0.0
vertical_conductance,-20,0.0,0.0,0.3909448813394965,0.3909448813394965,0.0
vertical_conductance,-10,0.0,0.0,0.38428662362066723,0.38428662362066723,0.0
vertical_conductance,10,0.0,0.0,0.3746319875286179,0.3746319875286179,0.0
vertical_conductance,20,0.0,0.0,0.37101943684832167,0.37101943684832167,0.0
switching_activity,-20,0.0,0.0,0.37723003311302516,0.37723003311302516,0.0
switching_activity,-10,0.0,0.0,0.37810128531302517,0.37810128531302517,0.0
switching_activity,10,0.0,0.0,0.3798437897130252,0.3798437897130252,0.0
switching_activity,20,0.0,0.0,0.3807150419130252,0.3807150419130252,0.0
routing_pitch,-20,0.0,0.0,0.37834853751302516,0.37834853751302516,0.0
routing_pitch,-10,0.0,0.0,0.3786605375130252,0.3786605375130252,0.0
routing_pitch,10,0.0,0.0,0.3792845375130252,0.3792845375130252,0.0
routing_pitch,20,0.0,0.0,0.3795965375130252,0.3795965375130252,0.0
