x_mm,y_mm,wins,win_rate,win_rate_ci95_low,win_rate_ci95_high,mean_rank,top_k,top_k_rate,balanced_rank
0.4,0.2,0,0.0,0.0,0.003826898586390522,65.729,5,0.0,64
0.4,-0.2,0,0.0,0.0,0.003826898586390522,66.462,5,0.0,66
-0.4,-0.2,0,0.0,0.0,0.003826898586390522,66.466,5,0.0,65
-1.0,-0.5,0,0.0,0.0,0.003826898586390522,66.67,5,0.004,79
-0.2,-0.2,0,0.0,0.0,0.003826898586390522,66.696,5,0.0,58
1.0,-0.5,0,0.0,0.0,0.003826898586390522,66.787,5,0.002,80
0.4,-0.1,0,0.0,0.0,0.003826898586390522,67.04,5,0.0,74
0.1,-0.4,0,0.0,0.0,0.003826898586390522,67.081,5,0.0,70
-0.2,0.2,0,0.0,0.0,0.003826898586390522,67.388,5,0.0,59
-0.4,0.2,0,0.0,0.0,0.003826898586390522,67.767,5,0.0,67
-0.1,0.4,0,0.0,0.0,0.003826898586390522,67.881,5,0.0,71
-0.4,0.1,0,0.0,0.0,0.003826898586390522,68.146,5,0.0,75
1.0,0.5,0,0.0,0.0,0.003826898586390522,68.278,5,0.001,81
0.1,0.4,0,0.0,0.0,0.003826898586390522,68.521,5,0.0,72
-0.4,-0.1,0,0.0,0.0,0.003826898586390522,69.379,5,0.0,76
0.4,0.1,0,0.0,0.0,0.003826898586390522,69.403,5,0.0,77
-0.1,-0.4,0,0.0,0.0,0.003826898586390522,69.641,5,0.0,73
1.5,0.5,0,0.0,0.0,0.003826898586390522,73.484,5,0.0,88
1.5,-0.5,0,0.0,0.0,0.003826898586390522,73.507,5,0.0,89
-1.5,0.5,0,0.0,0.0,0.003826898586390522,74.375,5,0.0,90
-1.5,-0.5,0,0.0,0.0,0.003826898586390522,75.774,5,0.0,91
0.2,-0.4,0,0.0,0.0,0.003826898586390522,76.762,5,0.0,82
2.0,-0.5,0,0.0,0.0,0.003826898586390522,77.674,5,0.056,98
-0.2,0.4,0,0.0,0.0,0.003826898586390522,77.903,5,0.0,83
-0.0,-0.4,0,0.0,0.0,0.003826898586390522,78.357,5,0.0,86
2.0,0.5,0,0.0,0.0,0.003826898586390522,78.623,5,0.045,97
-0.2,-0.4,0,0.0,0.0,0.003826898586390522,79.121,5,0.0,84
-2.0,-0.5,0,0.0,0.0,0.003826898586390522,79.137,5,0.034,99
0.2,0.4,0,0.0,0.0,0.003826898586390522,79.234,5,0.0,85
-0.0,0.4,0,0.0,0.0,0.003826898586390522,79.353,5,0.0,87
-0.5,0.5,0,0.0,0.0,0.003826898586390522,87.149,5,0.0,92
0.5,-0.5,0,0.0,0.0,0.003826898586390522,88.129,5,0.0,93
0.4,-0.0,0,0.0,0.0,0.003826898586390522,88.964,5,0.0,102
-0.5,-0.5,0,0.0,0.0,0.003826898586390522,89.14,5,0.0,94
-0.4,-0.0,0,0.0,0.0,0.003826898586390522,89.172,5,0.0,103
0.5,0.5,0,0.0,0.0,0.003826898586390522,90.138,5,0.0,95
0.0,-0.5,0,0.0,0.0,0.003826898586390522,95.53,5,0.0,100
0.0,0.5,0,0.0,0.0,0.003826898586390522,96.53,5,0.0,101
2.5,0.5,0,0.0,0.0,0.003826898586390522,98.585,5,0.006,109
1.5,0.0,0,0.0,0.0,0.003826898586390522,98.766,5,0.0,104
-2.5,0.5,0,0.0,0.0,0.003826898586390522,99.497,5,0.006,110
-1.5,0.0,0,0.0,0.0,0.003826898586390522,99.712,5,0.0,105
-2.5,-0.5,0,0.0,0.0,0.003826898586390522,100.541,5,0.004,111
0.5,0.0,0,0.0,0.0,0.003826898586390522,108.936,5,0.0,106
-0.5,0.0,0,0.0,0.0,0.003826898586390522,109.936,5,0.0,107
-1.5,1.0,0,0.0,0.0,0.003826898586390522,110.505,5,0.0,118
1.5,-1.0,0,0.0,0.0,0.003826898586390522,111.8,5,0.0,119
-1.5,-1.0,0,0.0,0.0,0.003826898586390522,112.325,5,0.0,120
-0.5,1.0,0,0.0,0.0,0.003826898586390522,113.045,5,0.0,114
2.5,0.0,0,0.0,0.0,0.003826898586390522,113.356,5,0.005,112
1.5,1.0,0,0.0,0.0,0.003826898586390522,113.39,5,0.0,121
1.0,-1.0,0,0.0,0.0,0.003826898586390522,113.473,5,0.0,122
-1.0,1.0,0,0.0,0.0,0.003826898586390522,113.868,5,0.0,123
0.5,-1.0,0,0.0,0.0,0.003826898586390522,114.046,5,0.0,115
-2.5,0.0,0,0.0,0.0,0.003826898586390522,114.328,5,0.005,113
-0.5,-1.0,0,0.0,0.0,0.003826898586390522,115.044,5,0.0,116
-1.0,-1.0,0,0.0,0.0,0.003826898586390522,115.164,5,0.0,124
0.5,1.0,0,0.0,0.0,0.003826898586390522,116.045,5,0.0,117
1.0,1.0,0,0.0,0.0,0.003826898586390522,116.131,5,0.0,125
-2.0,1.0,0,0.0,0.0,0.003826898586390522,116.954,5,0.004,128
2.0,-1.0,0,0.0,0.0,0.003826898586390522,117.236,5,0.0,129
2.0,1.0,0,0.0,0.0,0.003826898586390522,118.592,5,0.0,130
-2.0,-1.0,0,0.0,0.0,0.003826898586390522,119.59,5,0.0,131
0.0,-1.0,0,0.0,0.0,0.003826898586390522,123.536,5,0.0,126
0.0,1.0,0,0.0,0.0,0.003826898586390522,124.534,5,0.0,127
-2.5,1.0,0,0.0,0.0,0.003826898586390522,126.953,5,0.001,134
2.5,1.0,0,0.0,0.0,0.003826898586390522,127.585,5,0.001,133
-2.5,-1.0,0,0.0,0.0,0.003826898586390522,128.783,5,0.001,135
0.5,-1.5,0,0.0,0.0,0.003826898586390522,138.549,5,0.0,136
-1.5,1.5,0,0.0,0.0,0.003826898586390522,139.195,5,0.0,140
-0.5,-1.5,0,0.0,0.0,0.003826898586390522,139.61,5,0.0,137
1.5,-1.5,0,0.0,0.0,0.003826898586390522,140.203,5,0.0,141
1.0,-1.5,0,0.0,0.0,0.003826898586390522,140.485,5,0.0,144
-0.5,1.5,0,0.0,0.0,0.003826898586390522,140.487,5,0.0,138
-1.5,-1.5,0,0.0,0.0,0.003826898586390522,141.288,5,0.0,143
-1.0,1.5,0,0.0,0.0,0.003826898586390522,141.465,5,0.0,145
0.5,1.5,0,0.0,0.0,0.003826898586390522,141.538,5,0.0,139
1.5,1.5,0,0.0,0.0,0.003826898586390522,142.094,5,0.0,142
