fixed_cost_weight,route_weight,overflow_weight,winner,winner_score
0.7,0.30000000000000004,0.0,balanced,0.9801592797783933
0.7,0.25000000000000006,0.05,wirelength_first,0.9854282086795938
0.7,0.20000000000000004,0.1,wirelength_first,0.988342566943675
0.8,0.19999999999999996,0.0,balanced,0.9867728531855956
0.8,0.14999999999999997,0.05,wirelength_first,0.9912569252077563
0.8,0.09999999999999995,0.1,wirelength_first,0.9941712834718375
0.9,0.09999999999999998,0.0,balanced,0.9933864265927977
0.9,0.049999999999999975,0.05,wirelength_first,0.9970856417359188
0.9,-2.7755575615628914e-17,0.1,manual_baseline,1.0
