stage,requests,streams,dispatches,coalesced_requests,coalescing_percent,average_queue_cycles,p95_queue_cycles,max_queue_cycles,first_arrival_cycle,last_completion_cycle,modeled_transfer_bytes
expand_pointwise,42336,63,720,41616,98.2993,78.1150,109,131,915,47480,10838016
project_pointwise,50176,64,896,49280,98.2143,78.6694,109,131,84558,139966,12845056
