stage,requests,streams,dispatches,coalesced_requests,coalescing_percent,average_queue_cycles,p95_queue_cycles,max_queue_cycles,first_arrival_cycle,last_completion_cycle,modeled_transfer_bytes
expand_pointwise,42336,63,720,41616,98.2993,39411.7557,74862,78432,915,87027,10838016
project_pointwise,50176,64,896,49280,98.2143,47664.0395,90448,94021,123558,225702,12845056
