fill_policy,fill_channels,physical_weight_bytes,physical_writes,buffer_fill_bursts,buffer_read_hits,buffer_read_misses,total_cycle
bank_aware,16,114688,225460,3584,702464,0,223414
bank_aware,32,114688,225460,3584,702464,0,224150
bank_aware,64,114688,225460,3584,702464,0,219405
