test,result,outputs_checked,hab_entries,hab_exits,rank_command_rejects,rank_mode_transition_rejects,rank_logic_queue_rejects,rank_bank_domain_rejects,rank_logic_domain_rejects,total_cycle
MobileNetV4WorkloadTest.PointwiseHabResidencyThreeChannelGroup,PASS,384,1,1,6294,6294,0,0,6294,1706
MobileNetV4WorkloadTest.PointwiseHabResidencyTwoThreeChannelGroups,PASS,768,2,2,12588,12588,0,0,12588,2515
