configuration,outputs_checked,total_cycle,expand_stage_cycles,depthwise_stage_cycles,project_stage_cycles,add_stage_cycles,relu_stage_cycles,epoch_mismatch_reject_evaluations,barrier_outstanding_reject_evaluations,write_bus_busy_reject_evaluations,test_result
command_issue_epoch_completion,18816,239421,NA,NA,NA,NA,NA,11315166,987664,22255445,PASS
write_data_epoch_completion,18816,247342,88217,37466,117559,3385,715,12447128,1001437,22052726,PASS
