source_queues,hab_residency,positions,outputs_checked,spatial_groups,batch_waves,hab_entries,hab_exits,total_cycle,status
false,false,128,384,64,2,128,128,18332,PASS
false,true,128,384,64,2,64,64,18332,PASS
true,false,128,384,64,2,128,128,18305,PASS
true,true,128,384,64,2,64,64,18305,PASS
