source_queues,outputs_checked,total_cycle,expand_stage_cycles,depthwise_stage_cycles,project_stage_cycles,add_stage_cycles,relu_stage_cycles,test_result
true,18816,239847,88576,37140,110086,3353,692,PASS
false,18816,216976,89382,20346,104703,1288,1257,PASS
