fill_channels,physical_weight_bytes,physical_writes,buffer_fill_bursts,buffer_read_hits,buffer_read_misses,total_cycle
0,114688,225460,3584,702464,0,231084
4,114688,225460,3584,702464,0,225540
8,114688,225460,3584,702464,0,224716
16,114688,225460,3584,702464,0,223414
32,114688,225460,3584,702464,0,224150
40,114688,225460,3584,702464,0,226365
48,114688,225460,3584,702464,0,225208
56,114688,225460,3584,702464,0,230085
60,114688,225460,3584,702464,0,232383
64,114688,225460,3584,702464,0,219405
