pcu_count,scheduler_lanes,stage,requests,average_queue_cycles,p95_queue_cycles,max_queue_cycles,peak_waiting_requests,first_arrival_cycle,last_completion_cycle,arrival_to_completion_span
8,1,expand_pointwise,42336,82422.4870,156578,164544,40446,915,173139,172224
8,1,project_pointwise,50176,148232.7699,236897,245746,50176,123558,377427,253869
16,2,expand_pointwise,42336,39411.7557,74862,78432,38556,915,87027,86112
16,2,project_pointwise,50176,47664.0395,90448,94021,46179,123558,225702,102144
32,4,expand_pointwise,42336,17906.3917,34006,35376,34776,915,43971,43056
32,4,project_pointwise,50176,22170.1745,42012,43283,42619,123558,174630,51072
64,8,expand_pointwise,42336,7153.7098,13490,13850,27222,915,22443,21528
64,8,project_pointwise,50176,9423.2427,17656,18323,36092,123558,149094,25536
