configuration,outputs_checked,total_cycle,weight_fill_completion_cycle,weight_fill_barrier_cycles,predicate_reject_cycles,write_bus_busy_reject_evaluations,test_result
source_queue_on_conservative,18816,239847,126507,1354,1304360,22401726,PASS
source_queue_on_completion_class,18816,239421,125409,406,1283610,22255445,PASS
