fill_policy,fill_channels,physical_weight_bytes,physical_writes,buffer_fill_bursts,buffer_read_hits,buffer_read_misses,active_channels,completed_fill_writes,min_writes_per_channel,max_writes_per_channel,min_completion_cycle,max_completion_cycle,fill_activates,fill_precharges,total_cycle
row_local,16,114688,225460,3584,702464,0,16,3584,224,224,110328,110328,112,0,223747
row_local,32,114688,225460,3584,702464,0,32,3584,112,112,109714,109714,128,0,227073
row_local,64,114688,225460,3584,702464,0,64,3584,56,56,108553,108553,128,0,219752
