configuration,outputs_checked,total_cycle,predicate_reject_cycles,epoch_mismatch_reject_evaluations,barrier_outstanding_reject_evaluations,write_bus_busy_reject_evaluations,rank_command_reject_evaluations,test_result
source_queue_on_conservative_write,18816,239847,1304360,10689866,977410,22401726,0,PASS
source_queue_on_interval_write,0,NA,NA,NA,NA,NA,NA,FAIL_RANK_STATE
