stage,positions,stage_cycles,ordered_write_barriers,pim_mode_write_barriers,pim_control_write_barriers,pim_writeback_barriers,test_result
project,196,117559,784,1568,392,392,PASS
project_context_residency,196,NA,NA,NA,NA,NA,TIMEOUT_OVER_300S
