scenario,p05,p50,p95,best_rank_probability,samples
hbm2_4hi_1stack,1.3996366236935671,1.571175729876553,1.79380038465123,0.0,2000
hbm2_8hi_1stack,1.0,1.0,1.0,0.547,2000
hbm2_12hi_1stack,0.6106832366601816,0.6959681730410109,0.78053768656189,0.0,2000
hbm2_8hi_2stack,0.7371982531783742,0.9651920108375455,1.2235028429006596,0.4295,2000
hbm2_8hi_no_pim,0.35178869604005364,0.5440231833955338,0.9741646757249615,0.0235,2000
