scenario,area_index,package_index,yield_cost_index,energy_index,combined_cost_index,normalized_performance,performance_per_cost,thermal_feasible,capacity_feasible,overall_feasible,pareto_optimal
hbm2_4hi_1stack,0.5580110497237569,0.725,0.671639076014902,0.7500000000000001,0.6718843202565274,1.0,1.488351446597529,True,False,False,False
hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True
hbm2_12hi_1stack,1.441988950276243,1.2750000000000001,1.4888949075646285,1.2500000000000002,1.3600708847059568,1.0,0.7352557953008434,True,True,True,False
hbm2_8hi_2stack,2.0,2.0,2.735314472936077,1.0,1.8187240664454964,2.0,1.0996720376108444,True,True,True,True
hbm2_8hi_no_pim,0.994475138121547,1.0,0.9910314438118207,1.5652173913043481,1.114458772899055,0.5555555555555556,0.4984980773316381,True,True,True,True
