sample,scenario,area_index,package_index,yield_cost_index,energy_index,thermal_index,combined_cost_index,normalized_performance,performance_per_cost
0,hbm2_4hi_1stack,0.5688924537232027,0.725,0.6780742570019241,0.7499999999999999,0.6305919272305365,0.6672537469923994,1.0,1.4986802314822982
0,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,hbm2_12hi_1stack,1.431107546276797,1.275,1.474764732142253,1.2499999999999998,1.4490134546157725,1.37270598172085,1.0,0.7284881200462033
0,hbm2_8hi_2stack,2.0,2.0,3.3451922191439576,1.0,2.0,1.9297551694161668,2.0,1.03640090292132
0,hbm2_8hi_no_pim,0.996601291501742,1.0,0.9903038543279484,1.7114545407525652,0.7907890921187251,1.0596030278396953,0.46205673203040337,0.43606588494979914
1,hbm2_4hi_1stack,0.540825486693425,0.725,0.47727554301387515,0.7500000000000001,0.6350242063044803,0.6165995111909452,1.0,1.6217982367007187
1,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,hbm2_12hi_1stack,1.459174513306575,1.275,2.095225734143533,1.25,1.4416263228258663,1.4768017260225699,1.0,0.6771389702348689
1,hbm2_8hi_2stack,2.0,2.0,5.657002938744212,1.0,2.0,2.1435581934922245,2.0,0.9330280866980599
1,hbm2_8hi_no_pim,0.9963274009749062,1.0,0.9900960053675079,1.0082778555204568,0.7026972105519684,0.9308625712860629,0.6969281401000794,0.7486906892574015
2,hbm2_4hi_1stack,0.5569911935015784,0.725,0.34646003071451464,0.7500000000000001,0.6567560491491,0.5856807688420274,1.0,1.7074147781514828
2,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,hbm2_12hi_1stack,1.4430088064984212,1.275,2.8863358290931003,1.2500000000000002,1.4054065847515003,1.5630310474203852,1.0,0.6397825568790796
2,hbm2_8hi_2stack,2.0,2.0,9.327408232132537,1.0,2.0,2.3690280033757816,2.0,0.844228095721144
2,hbm2_8hi_no_pim,0.9961938552140412,1.0,0.9971355977116739,1.6443812751693736,0.720160210178561,1.033013375689968,0.43795208632765736,0.4239558718541678
3,hbm2_4hi_1stack,0.5628267619948544,0.725,0.8707823858942638,0.7500000000000001,0.6644354246842598,0.7073384800180708,1.0,1.413750316502578
3,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,hbm2_12hi_1stack,1.4371732380051454,1.275,1.148392544680419,1.25,1.392607625526234,1.2964915498770482,1.0,0.7713123931234525
3,hbm2_8hi_2stack,2.0,2.0,2.3875026114771347,1.0,2.0,1.8038763655316818,2.0,1.1087234348294772
3,hbm2_8hi_no_pim,0.9954132988382539,1.0,0.9808899208990209,0.9567083200825494,0.7015591509575838,0.9189534468362645,0.7333051633721026,0.7979785764955731
4,hbm2_4hi_1stack,0.568356873842933,0.725,0.6433315784162476,0.75,0.6069992240109021,0.6551317968590591,1.0,1.5264104181698475
4,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,hbm2_12hi_1stack,1.4316431261570668,1.275,1.554408385271244,1.2500000000000002,1.4883346266484965,1.3947749448646998,1.0,0.7169615454319801
4,hbm2_8hi_2stack,2.0,2.0,2.779396062774956,1.0,2.0,1.8595509622522144,2.0,1.075528469291145
4,hbm2_8hi_no_pim,0.9918655448969155,1.0,0.9941343203830073,1.8988583933521066,0.8100872904338214,1.0868871486381848,0.42661806339531844,0.392513669822897
5,hbm2_4hi_1stack,0.5824257480148335,0.725,0.48480758064424845,0.7499999999999999,0.6029730256689435,0.6213001013444197,1.0,1.6095281456354484
5,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,hbm2_12hi_1stack,1.4175742519851664,1.275,2.0626740173310103,1.25,1.495044957218427,1.4743825185772839,1.0,0.6782500385076169
5,hbm2_8hi_2stack,2.0,2.0,7.441980564744595,1.0,2.0,2.264413334699366,2.0,0.8832309761439952
5,hbm2_8hi_no_pim,0.9919489516189822,1.0,0.9745016836495877,1.2650740431542964,0.7950702112438839,0.9943943973518511,0.6284772148683728,0.632020068236563
6,hbm2_4hi_1stack,0.5524496726361411,0.725,0.47568921385957685,0.75,0.645351930714036,0.6208152572131013,1.0,1.6107851544903955
6,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,hbm2_12hi_1stack,1.447550327363859,1.275,2.102212896286523,1.25,1.4244134488099405,1.4718831251576137,1.0,0.6794017696839326
6,hbm2_8hi_2stack,2.0,2.0,7.279358588870796,1.0,2.0,2.2544292998476916,2.0,0.8871424799771362
6,hbm2_8hi_no_pim,0.9979574037349593,1.0,0.9914784438011192,1.7038784461399639,0.8061581330559144,1.0632877880136329,0.4731312464702034,0.4449700747095735
7,hbm2_4hi_1stack,0.5520223053462928,0.725,0.2641070181409984,0.7500000000000001,0.6015531679240903,0.5441040659774891,1.0,1.8378837110939223
7,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,hbm2_12hi_1stack,1.4479776946537073,1.275,3.786343911035835,1.25,1.4974113867931826,1.6724327052443317,1.0,0.5979313827481665
7,hbm2_8hi_2stack,2.0,2.0,17.185337313057353,1.0,2.0,2.6770076334442203,2.0,0.7471028378902353
7,hbm2_8hi_no_pim,0.9930843682925459,1.0,0.9897031224721643,1.9823769904879662,0.8454553044441026,1.1049779140424258,0.42648563240031967,0.38596756277243083
8,hbm2_4hi_1stack,0.5641612164587934,0.725,0.3957483517196092,0.75,0.6251969018597128,0.5971008450108785,1.0,1.67475897640336
8,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,hbm2_12hi_1stack,1.435838783541207,1.275,2.526858281670135,1.2500000000000002,1.4580051635671454,1.5316980695635776,1.0,0.6528701836680693
8,hbm2_8hi_2stack,2.0,2.0,11.67876176613025,1.0,2.0,2.4779774920573097,2.0,0.8071098330838853
8,hbm2_8hi_no_pim,0.9931031092153058,1.0,0.9707788131852381,2.0869290948487413,0.9886989519352523,1.1474592723330699,0.4737578072852123,0.4128754882270853
9,hbm2_4hi_1stack,0.5657103594703012,0.725,0.5567273510009743,0.7500000000000001,0.5807480588824476,0.6302672564398577,1.0,1.5866285131939477
9,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,hbm2_12hi_1stack,1.4342896405296988,1.275,1.796211373847608,1.25,1.532086568529254,1.444573226141161,1.0,0.6922459740384818
9,hbm2_8hi_2stack,2.0,2.0,3.58955410014585,1.0,2.0,1.957158949418651,2.0,1.0218894079063299
9,hbm2_8hi_no_pim,0.9959228050325585,1.0,0.9969664854325195,1.096717354814395,0.9961454233387121,1.0164001938970544,0.9082973101189749,0.8936414175959625
10,hbm2_4hi_1stack,0.5651691546706125,0.725,0.7715849490022084,0.7499999999999999,0.641504795780556,0.6861708671652149,1.0,1.4573629512009316
10,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,hbm2_12hi_1stack,1.4348308453293874,1.275,1.2960335751665084,1.2499999999999998,1.4308253403657396,1.3350107276598455,1.0,0.7490576512092233
10,hbm2_8hi_2stack,2.0,2.0,2.057197007419467,1.0,2.0,1.750947700299556,2.0,1.1422385715220595
10,hbm2_8hi_no_pim,0.992321428337464,1.0,0.9889729558207304,0.9267139612655552,0.7410592636244049,0.9241172697680253,0.7996634286294626,0.8653267878331031
11,hbm2_4hi_1stack,0.5677383793072985,0.725,0.3689607336273451,0.75,0.6029446184186384,0.5852764090500364,1.0,1.7085944086198561
11,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,hbm2_12hi_1stack,1.4322616206927015,1.275,2.710315512896861,1.25,1.4950923026356027,1.560364574299785,1.0,0.6408758673906391
11,hbm2_8hi_2stack,2.0,2.0,9.300404505843911,1.0,2.0,2.3676547002289445,2.0,0.8447177706304075
11,hbm2_8hi_no_pim,0.9920967587747848,1.0,0.9882173066836882,2.088867937798691,0.9335595536251041,1.1383921689695942,0.44692129010746173,0.39258991961617995
12,hbm2_4hi_1stack,0.5725796755842695,0.725,0.37526546913927683,0.7500000000000001,0.5979400695709113,0.5872814615635371,1.0,1.7027610531714552
