OpenROAD 26Q3-1080-gab6fd26351 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
LOGIC_DIE_LEAF_CELLS=13176
   Internal  Switching    Leakage      Total
      Power      Power      Power      Power (Watts)
--------------------------------------------
   4.98e-06   0.00e+00   8.56e-12   4.98e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[0\]$_DFFE_PP_
   4.98e-06   0.00e+00   8.54e-12   4.98e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[2\]$_DFFE_PP_
   4.97e-06   0.00e+00   8.54e-12   4.97e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[6\]$_DFFE_PP_
   4.97e-06   0.00e+00   8.53e-12   4.97e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[3\]$_DFFE_PP_
   4.97e-06   0.00e+00   8.54e-12   4.97e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[7\]$_DFFE_PP_
   4.96e-06   0.00e+00   8.52e-12   4.96e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[5\]$_DFFE_PP_
   4.93e-06   0.00e+00   8.47e-12   4.93e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[4\]$_DFFE_PP_
   4.93e-06   0.00e+00   8.45e-12   4.93e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[8\]$_DFFE_PP_
   4.90e-06   0.00e+00   8.33e-12   4.90e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[15\]$_DFFE_PP_
   4.85e-06   0.00e+00   9.11e-12   4.85e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[13\]$_DFFE_PP_
   4.82e-06   0.00e+00   9.09e-12   4.82e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[14\]$_DFFE_PP_
   4.80e-06   0.00e+00   9.09e-12   4.80e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[11\]$_DFFE_PP_
   4.79e-06   0.00e+00   9.34e-12   4.79e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[22\]$_DFFE_PP_
   4.79e-06   0.00e+00   9.34e-12   4.79e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[10\]$_DFFE_PP_
   4.79e-06   0.00e+00   9.34e-12   4.79e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[29\]$_DFFE_PP_
   4.79e-06   0.00e+00   9.34e-12   4.79e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[9\]$_DFFE_PP_
   4.79e-06   0.00e+00   9.34e-12   4.79e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[21\]$_DFFE_PP_
   4.79e-06   0.00e+00   9.34e-12   4.79e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[13\]$_DFFE_PP_
   4.79e-06   0.00e+00   9.34e-12   4.79e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[6\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[12\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[14\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[25\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[0\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[23\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[8\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[15\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[31\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[3\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[2\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[1\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[7\]$_DFFE_PP_
