revision,area_vs_baseline_pct,area_vs_baseline_policy,power_vs_baseline_pct,power_vs_baseline_policy,peak_delta_vs_baseline_K,peak_vs_baseline_policy,energy_vs_baseline_pct,energy_vs_baseline_policy,critical_path_vs_baseline_pct,critical_path_vs_baseline_policy,throughput_vs_baseline_pct,throughput_vs_baseline_policy,area_vs_previous_pct,area_vs_previous_policy,power_vs_previous_pct,power_vs_previous_policy,peak_delta_vs_previous_K,peak_vs_previous_policy,critical_path_vs_previous_pct,critical_path_vs_previous_policy,throughput_vs_previous_pct,throughput_vs_previous_policy
provisional_baseline_2026_08_11,0.0,quantitative,0.0,quantitative,0.0,quantitative,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable
physical_feasibility_2026_08_12,0.0,quantitative,0.0,quantitative,0.0,quantitative,,unavailable,,unavailable,,unavailable,0.0,quantitative,0.0,quantitative,0.0,quantitative,,unavailable,,unavailable
