revision,label,git_commit,dirty,parameter_status,physical_feasibility_status,rtl_freeze_allowed,fp16_generic_cells,bf16_generic_cells,mapped_area_um2,technology_mapped_area_um2,critical_path_ns,slack_ns,dynamic_power_W,leakage_power_W,total_power_W,energy_per_op_J,throughput_ops_s,peak_temperature_K,hotspot_layer,hotspot_x,hotspot_y,physical_calibration,timing_calibration,power_calibration,thermal_calibration,workload_calibration,area_vs_baseline_pct,area_vs_baseline_policy,power_vs_baseline_pct,power_vs_baseline_policy,peak_delta_vs_baseline_K,peak_vs_baseline_policy,energy_vs_baseline_pct,energy_vs_baseline_policy,critical_path_vs_baseline_pct,critical_path_vs_baseline_policy,throughput_vs_baseline_pct,throughput_vs_baseline_policy,area_vs_previous_pct,area_vs_previous_policy,power_vs_previous_pct,power_vs_previous_policy,peak_delta_vs_previous_K,peak_vs_previous_policy,critical_path_vs_previous_pct,critical_path_vs_previous_policy,throughput_vs_previous_pct,throughput_vs_previous_policy
provisional_baseline_2026_08_11,Temporary RTL plus synthetic physical baseline,14dd245dbfc8d53177f73526ade4f0b72d2b7f6b,True,PROVISIONAL,PENDING,False,129805,104699,10900000.0,,,,3.57,0.43000000000000005,4.0,,,322.58181130667003,dram_0,0,1,synthetic,not_available,synthetic,synthetic_architectural,pending,0.0,quantitative,0.0,quantitative,0.0,quantitative,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable
physical_feasibility_2026_08_12,Adapter plus PCU lightweight physical-feasibility revision,14dd245dbfc8d53177f73526ade4f0b72d2b7f6b,True,PROVISIONAL,FAIL,False,129805,104699,10900000.0,,,,3.57,0.43000000000000005,4.0,,,322.58181130667003,dram_0,0,1,synthetic,not_available,synthetic,synthetic_architectural,pending,0.0,quantitative,0.0,quantitative,0.0,quantitative,,unavailable,,unavailable,,unavailable,0.0,quantitative,0.0,quantitative,0.0,quantitative,,unavailable,,unavailable
