candidate,profile_id,rows,hidden_size,samples,bit_mismatches,bit_exact_rate,max_abs,mean_abs,rmse,nonfinite,threshold,result
C7_FP32_REDUCE_EXACT_FUSED,action_vl_self_attention_norm3,280,2048,573440,15,0.9999738420758929,0.015625,1.0054131312894501e-07,2.9322550416004744e-05,0,0.025,PASS
C8_CANONICAL_WELFORD_FUSED,action_vl_self_attention_norm3,280,2048,573440,14,0.9999755859375,0.015625,9.622069358426546e-08,2.8901209934834697e-05,0,0.025,PASS
C9_FP32_REDUCE_NR2_FUSED,action_vl_self_attention_norm3,280,2048,573440,20,0.9999651227678571,0.015625,1.1240969927582358e-07,2.991212021029262e-05,0,0.025,PASS
C10_FP32_BALANCED_NR2_FUSED,action_vl_self_attention_norm3,280,2048,573440,21,0.99996337890625,0.015625,1.362521808394896e-07,3.318066248710244e-05,0,0.025,PASS
C11_FP32_INTERLEAVED4_NR2_FUSED,action_vl_self_attention_norm3,280,2048,573440,17,0.9999703543526786,0.015625,1.1580881878866681e-07,3.111125608557211e-05,0,0.025,PASS
C0_CURRENT_BF16,action_dit_adaln_norm1,41,1536,62976,38185,0.39365790142276424,0.046875,0.003097088341184748,0.005302509613452964,0,0.025,FAIL
C1_FP32_REDUCE_SCALAR,action_dit_adaln_norm1,41,1536,62976,24626,0.6089621443089431,0.03125,0.0017247131715218227,0.003548614670398707,0,0.025,FAIL
C2_FP32_REDUCE_SCALAR_NR1,action_dit_adaln_norm1,41,1536,62976,20675,0.6717003302845529,0.03125,0.0014164130453292916,0.0031811229012224966,0,0.025,FAIL
C3_FUSED_APPLY_ONLY,action_dit_adaln_norm1,41,1536,62976,37327,0.4072821392276423,0.03125,0.002969625019809095,0.005085576021694492,0,0.025,FAIL
C4_BF16_REDUCE_FP32_SCALAR_FUSED,action_dit_adaln_norm1,41,1536,62976,45137,0.2832666412601626,0.046875,0.0036214121079784097,0.005596774889468827,0,0.025,FAIL
C5_FP32_REDUCE_LUT_FUSED,action_dit_adaln_norm1,41,1536,62976,19147,0.6959635416666666,0.03125,0.001311396135062706,0.003051042039582312,0,0.025,FAIL
C6_FP32_REDUCE_NR1_FUSED,action_dit_adaln_norm1,41,1536,62976,79,0.9987455538617886,0.0078125,4.919806147009377e-06,0.00016774092852695318,0,0.025,PASS
C7_FP32_REDUCE_EXACT_FUSED,action_dit_adaln_norm1,41,1536,62976,4,0.9999364837398373,0.0078125,4.962207825203253e-07,6.226335088509164e-05,0,0.025,PASS
C8_CANONICAL_WELFORD_FUSED,action_dit_adaln_norm1,41,1536,62976,4,0.9999364837398373,0.0078125,4.962207825203253e-07,6.226335088509164e-05,0,0.025,PASS
