time_s,peak_K
0.0001,300.09465277584616
0.0002,300.1674163592956
0.00030000000000000003,300.23105384483006
0.0004,300.2902185673851
0.0005,300.34668938452137
0.0006000000000000001,300.4011939181775
0.0007,300.45406388602134
0.0008,300.5054759147946
0.0009000000000000001,300.55554199550727
0.001,301.6203863407601
0.0011,302.3571652678573
0.0012000000000000001,302.8378115765832
0.0013000000000000002,303.185246418336
0.0014,303.45528135231166
0.0015,303.67655645463765
0.0016,303.8650543239086
0.0017000000000000001,304.03029788696745
0.0018000000000000002,304.1782815176881
0.0019,304.3129614700069
0.002,304.43705889541485
0.0021000000000000003,304.55251429807686
0.0022,304.6607560069822
0.0023,304.76286492496126
0.0024000000000000002,304.8596791296569
0.0025,304.95186235980805
0.0026000000000000003,305.039950125956
0.0027,305.1243815565091
0.0028,305.2055219091415
0.0029000000000000002,305.2836788250735
0.003,304.05388081118303
0.0031000000000000003,303.3981801355604
0.0032,302.99168652278524
0.0033,303.2037743449582
0.0034000000000000002,303.49719217884945
0.0035,303.73249552450704
0.0036000000000000003,303.9277492787983
0.0037,304.0937708698327
0.0038,304.23747325578273
0.0039000000000000003,304.36353231731294
0.004,304.4752680287091
0.0041,304.57513538799805
0.004200000000000001,304.66501153113427
0.0043,304.7463713281958
0.0044,304.8203993063376
0.0045000000000000005,304.8880637629336
0.0046,304.9501675948762
0.0047,305.0073842930942
0.0048000000000000004,305.0602841781623
0.0049,305.1093540198402
0.005,303.7015754798416
