profile_id,rows,hidden_size,vectors_per_bank,inv_hidden_fp32,epsilon_fp32
rmsnorm_w128,8,128,1,3c000000,3727c5ac
rmsnorm_w2048,4,2048,16,3a000000,3727c5ac
