strategy,candidate_id,origin,seed,evidence_class,peak_temperature_proxy_C,hotspot_overlap_score,traffic_weighted_manhattan_um,tsv_access_distance_um,tsv_channel_distance_cv,global_route_congestion_proxy,timing_distance_proxy_um,ir_drop_distance_proxy_Wum_per_W,keepout_lost_area_um2,routing_corridor_area_um2,tsv_microbump_count,normalized_cost_proxy_raw,norm_peak_temperature_proxy_C,norm_traffic_weighted_manhattan_um,norm_global_route_congestion_proxy,norm_timing_distance_proxy_um,norm_ir_drop_distance_proxy_Wum_per_W,norm_normalized_cost_proxy_raw,score_cost_first,score_balanced,score_thermal_first,pareto_optimal,manifest
manual_baseline,cand_deb1a75ad74b,manual_baseline,235,modeled,39.19144311535408,1.0419329287320491,7207.373800584064,7196.428571428572,0.18280219604948572,2.2209618932241093,7139.347826086955,3457.5,4117748.3229132136,13440000.0,640.0,0.2571879115960774,0.40483205600772193,0.6427890808076109,0.5096519205147624,0.743460331138056,0.6111111111111112,0.6320301961652535,0.608783446525378,0.5736483084472745,0.5049603849696638,False,output/floorplan_optimization/exploration/candidates/manual_baseline.json
wirelength_first,cand_79bdf2d4412e,seeded_permutation_jitter,235,modeled,42.356315144938804,1.356751929724052,5047.41343345849,6218.75,0.2092926239919855,2.6913120159083648,5826.41304347826,2052.5,4117748.3229132136,13440000.0,640.0,0.2360586580475059,0.818197793343484,0.0,0.99124744645863,0.0,0.0048543689320388345,0.0,0.1811872424268134,0.3537220021978694,0.5496189678779831,True,output/floorplan_optimization/exploration/candidates/wirelength_first.json
thermal_first,cand_40d1fe3576c0,seeded_permutation_jitter,235,modeled,36.31371972582692,0.9467620215429438,6750.093867334168,6650.0,0.14472051858314203,1.759801534526855,6653.695652173912,3457.5,4117748.3229132136,13440000.0,640.0,0.2521539519048812,0.028970966004550142,0.506705774632587,0.03746587275995602,0.4684557149012125,0.6111111111111112,0.4814515435024477,0.4007764488682393,0.31780097721330847,0.20238045581811165,True,output/floorplan_optimization/exploration/candidates/thermal_first.json
balanced,cand_47f1b95e9a56,seeded_permutation_jitter,235,modeled,37.68486703874109,1.067624965177561,5552.0233625365045,6335.714285714285,0.42504314296168766,2.144655440300065,6007.391304347825,2491.875,4117748.3229132136,13440000.0,640.0,0.24055810076267775,0.2080572970474785,0.1501683815199344,0.43152108870134015,0.1024804579306948,0.19444444444444445,0.1345898782163391,0.17374830292633328,0.20178115873755703,0.20902244454657154,True,output/floorplan_optimization/exploration/candidates/balanced.json
cost_first,cand_47f1b95e9a56,seeded_permutation_jitter,235,modeled,37.68486703874109,1.067624965177561,5552.0233625365045,6335.714285714285,0.42504314296168766,2.144655440300065,6007.391304347825,2491.875,4117748.3229132136,13440000.0,640.0,0.24055810076267775,0.2080572970474785,0.1501683815199344,0.43152108870134015,0.1024804579306948,0.19444444444444445,0.1345898782163391,0.17374830292633328,0.20178115873755703,0.20902244454657154,True,output/floorplan_optimization/exploration/candidates/cost_first.json
