candidate_id,origin,seed,evidence_class,peak_temperature_proxy_C,hotspot_overlap_score,traffic_weighted_manhattan_um,tsv_access_distance_um,tsv_channel_distance_cv,global_route_congestion_proxy,timing_distance_proxy_um,ir_drop_distance_proxy_Wum_per_W,keepout_lost_area_um2,routing_corridor_area_um2,tsv_microbump_count,normalized_cost_proxy_raw,norm_peak_temperature_proxy_C,norm_traffic_weighted_manhattan_um,norm_global_route_congestion_proxy,norm_timing_distance_proxy_um,norm_ir_drop_distance_proxy_Wum_per_W,norm_normalized_cost_proxy_raw,score_cost_first,score_balanced,score_thermal_first,pareto_optimal
cand_005603f567d5,seeded_permutation_jitter,235,modeled,39.31791757868153,1.02071481403647,6730.360867751356,6282.142857142857,0.42504314296168766,2.0315769022940993,6313.260869565216,3521.875,4117748.3229132136,13440000.0,640.0,0.2522283972768203,0.421350957656442,0.5008333721309186,0.31573900348967265,0.2756816643072565,0.6388888888888888,0.48367839562110315,0.4501858106199709,0.43065816224188797,0.4290412393737719,False
cand_007ffcb3fa9f,seeded_permutation_jitter,235,modeled,39.52903341159413,1.1493765547189678,7248.0079265748855,6650.0,0.3559342484071871,2.1851459435032603,6760.217391304347,3779.375,4117748.3229132136,13440000.0,640.0,0.2575584369062648,0.44892491676739543,0.6548815121746824,0.4729796623157984,0.5287745429925526,0.75,0.6431135590461801,0.602356918556867,0.564937696279965,0.5197279539226799,False
cand_00b7c69b440e,seeded_permutation_jitter,235,modeled,41.1095813109542,1.250464736610557,5405.538172715895,6139.285714285715,0.14472051858314203,2.6008877603127103,5917.173913043477,2491.875,4117748.3229132136,13440000.0,640.0,0.2395494811844843,0.6553611776038861,0.10657541474618619,0.8986612753673013,0.051394103526804756,0.19444444444444445,0.1044194782826026,0.2384599292252507,0.3627710503711594,0.49077714540474116,True
cand_011c61db8bbe,seeded_permutation_jitter,235,modeled,39.528504135211946,1.0977126690470562,7165.039632874426,6525.0,0.42504314296168766,2.1851459435032603,6678.695652173912,3779.375,4117748.3229132136,13440000.0,640.0,0.2567287539692602,0.4488557876778368,0.6301907289290316,0.4729796623157984,0.4826121745553025,0.75,0.6182956132430061,0.5816211784157514,0.5493352102223815,0.5113637204649738,False
cand_05eb76bade1b,seeded_permutation_jitter,235,modeled,38.109472612339005,1.136731381300743,6261.243220692532,6721.428571428572,0.14472051858314203,1.939522224002747,6434.782608695651,2749.375,4117748.3229132136,13440000.0,640.0,0.24744516612794074,0.26351527271488867,0.3612272452162578,0.221483428612151,0.34449436819105056,0.3055555555555556,0.3405996770861326,0.32271101005509173,0.30466644386092945,0.2852394436049969,True
cand_06952bb28819,seeded_permutation_jitter,235,modeled,39.117773849707824,0.9911356886186405,7069.712140175219,6917.857142857143,0.18280219604948572,2.2839550978540415,6998.260869565216,3457.5,4117748.3229132136,13440000.0,640.0,0.2558742881966189,0.395210071286638,0.6018219346027904,0.5741512031800019,0.6635686588293221,0.6111111111111112,0.5927363492274775,0.5804900136893091,0.5548464475388489,0.4920676474413474,False
cand_06c7cb4994eb,seeded_permutation_jitter,235,modeled,41.835678249050794,1.376512848760658,7605.715477680435,7107.142857142857,0.14472051858314203,2.483411772468967,7373.043478260868,3586.25,4117748.3229132136,13440000.0,640.0,0.26143377824628594,0.750197112007503,0.7613327746481062,0.7783766035391996,0.8757924539915058,0.6666666666666666,0.7590349635439968,0.7674873482563684,0.7684631027593689,0.7587770096658744,False
cand_06e1b34cd37b,seeded_permutation_jitter,235,modeled,43.33370693467303,1.4361764648124713,8407.707551105548,7196.428571428572,0.3559342484071871,2.5191367692462183,7592.391304347825,4358.75,4117748.3229132136,13440000.0,640.0,0.26948942397731435,0.945855491364981,1.0,0.8149557342388913,1.0,1.0,1.0,0.9760811225603871,0.958707232977079,0.9517160936746287,False
cand_07619300404c,seeded_permutation_jitter,235,modeled,41.274949787219185,1.2617467730348795,6131.1743846474765,6792.857142857143,0.20966676170912643,2.1459487811039533,6507.173913043477,2491.875,4117748.3229132136,13440000.0,640.0,0.24635090432459136,0.6769600484221597,0.322519670375716,0.43284535144654485,0.38548655136332843,0.19444444444444445,0.30786749842032235,0.3615631171119441,0.4221183008096569,0.5212510033162074,False
cand_078a948721d8,seeded_permutation_jitter,235,modeled,38.87371067064937,1.0779241166249165,7188.506466416354,6792.857142857143,0.20966676170912643,1.9093250741944376,6835.217391304347,3779.375,4117748.3229132136,13440000.0,640.0,0.2566876014353706,0.3633328405408361,0.6371742942719246,0.19056430784963546,0.5712439219548225,0.75,0.6170646353474953,0.5541225688490659,0.500098998762387,0.4455845464724729,False
cand_08d80933aa61,seeded_permutation_jitter,235,modeled,41.42475388607181,1.2858191364952412,7497.5385899040475,6917.857142857143,0.3559342484071871,2.324623135417401,6954.782608695651,3779.375,4117748.3229132136,13440000.0,640.0,0.26019322073147055,0.6965260470468375,0.7291400903207788,0.6157915557489729,0.6389487289961223,0.75,0.7219267047197726,0.7029609990871963,0.6914595782455953,0.6925736986183368,False
cand_0b6d3740a2e5,seeded_permutation_jitter,235,modeled,43.237565768471924,1.4328214830087007,5891.061743846475,6917.857142857143,0.14472051858314203,2.4624423816210843,6582.391304347825,2170.0,4117748.3229132136,13440000.0,640.0,0.24426627151709848,0.9332984389206661,0.2510638297872342,0.7569058643450105,0.4280790299747645,0.05555555555555555,0.24551078150065037,0.3750210763202322,0.5036672826162327,0.6747501084476555,False
